,id,summaries,exact_matched_patt_contextual,string_match_prediction,Tech_Label,TP_entries_TECH,FP_entries_TECH,FN_entries_TECH,FP corrected,TP,FP,FN,Precision,Recall,f_score
0,-1zMVjZsVTSaqEUPGqaTqA_0000,i have a masters degree in computational finance from university of limerick ireland with 21 honors relevant modules derivative markets implementing market models dynamic asset pricing trading floor credit risk and derivatives portfolio risk analysis financial engineering i also have 3 years experience working at accenture services pvt ltd pune india initially as an associate software engineer later promoted to an application development analyst working for an usbased global telecommunications giant my role was a software engineer and i worked on developing and optimizing applications as per the client requirements worked on build and deployment guides for the clients and performed the various testing scenarios for the applications i have completed my bachelors degree in computer engineering from the university of mumbai with 21 honors relevant modules database management systems sql java computer networks data structures computer graphics i also enjoy watching football and support arsenal fc hi all nnim currently working in accenture with an overall experience of almost 8 years most of which almost 6 years have been devoted to the role of business analyst as a business and system integration lead my main focus has been to capture requirements from stakeholders analyze the requirements check the feasibility of implementation prioritze them and work in coordination with project manager to distribute the work in releases as part of sprints under agile methodologynnadditionally role requires working very closely with client doing the transition of requirement to dev and test leads to ensure the quality and exactness of delivery also have the ownership of requirements with the help of requirement tracibility matrix to bridge the gap if any between a functional and technical design additionally ensure that all functionalities required for an application are covered as part of the delivery hi all im currently working in accenture with an overall experience of around 9+ years most of which almost 6 years have been devoted to the role of business analyst as a business and system integration lead my main focus has been to capture requirements from stakeholders analyze the requirements check the feasibility of implementation prioritze them and work in coordination with project manager to distribute the work in releases as part of sprints under agile methodology additionally role requires working very closely with client doing the transition of requirement to dev and test leads to ensure the quality and exactness of delivery also have the ownership of requirements with the help of requirement tracibility matrix to bridge the gap if any between a functional and technical design additionally ensure that all functionalities required for an application are covered as part of the delivery location new delhi area india industry information technology and services like bangaluru salem and kolkata to teach new joiners joining an organization to bridge the gap between campus to corporate software engineer at zetagile info solutions private limited swaroop kumar business analyst at accenture business and technology delivery associate manager accenture associate software engineer at accenture investment banking back office retail banking back office,"['java', 'accenture']",['accenture'],[],['accenture'],[],[],['accenture'],1,0,0,1.0,1.0,1.0
1,0BEpuKXd00LyMNQDgcqUZw_0000,i am a strategic hr leader with single and multisite leadership experience my focus is to develop and implement key people strategies and forge strong hr business partnerships thereby helping to increase organizational performance drive profitability and enhance employee engagement nni am a native of marietta ga and remain active in the community through various volunteer capacities including the georgia state mba alumni association big brothers big sisters wellstar foundation pi kappa phi and marietta first united methodist church nni earned a bba from the brock school of business at samford university and mba from the j mack robinson school of business at georgia state university in my spare time i enjoy travel hiking camping sports and a good readnnspecialties organizational development workforce planning employment law employee relations employee engagement labor relations talent acquisition employee retention compensation benefits i am a strategic human resources leader with single and multisite leadership experience specifically in ma culture colliding and turnaround environments my focus is to develop and implement key people strategies to help organizations become employers of choice i am a native of marietta ga and remain active in the community i hold an mba from georgia state university and a bba from samford university in my spare time i enjoy travel hiking camping sports and reading specialties organizational development workforce planning employment law employee relations mergers acquisitions employee engagement labor relations talent acquisition employee retention compensation benefits qualifying skills strategic hr leadership businessfocused hr partnership talent acquisition and retention communications and presentations hr systems expertise organizational development employee relations compensation and benefits labor relations training implementation human resources director at core security i earned an mba from the robinson college of business at georgia state university and a bba from the brock human resources director at aquaguard foundation solutions senior human resources manager at aldridge pite llp human resources director at courion investment banking back office retail banking back office,['courion'],['courion'],['courion'],['courion'],[],[],[],1,0,0,1.0,1.0,1.0
2,0f9VnfZFwZiyd30xGBK9Ig_0000,multitalented creative marketing and design professional in the musicentertainment industry with experience in graphic design market research analysis management event programming and content programming nncurrently designing and scheduling concerts and entertainment content for the madison square garden company at venues such as madison square garden radio city music hall the beacon theatre the theater at msg the chicago theatre and the forum im proficient with adobe photoshop indesign illustrator after effects and dreamweaver as well being knowledgeable about printing and video displaysnnbrian is an extremely passionate music enthusiast and musician who also believes in always learning and expanding his wide skill set as a quick learner who likes to stay busy he currently enjoys taking moocs in sound design computer programming and music industry he also enjoys public speakingnnoutside of the office brian can be found rock climbing producing music drawing cooking and food tasting creative marketing and design professional in the musicentertainment industry with experience in graphic design project management digital marketing and content programming currently overseeing and designing all creative requests for concerts and entertainment at madison square garden radio city music hall the beacon theatre the theater at msg and the chicago theatre previously the forum as well im proficient with adobe photoshop indesign illustrator and after effects as well being knowledgeable about printing and video displays creative marketing and design professional with experience in graphic design project management digital marketing and content programming currently overseeing and designing all creative requests for concerts and entertainment at madison square garden radio city music hall the beacon theatre the hulu theater at msg and the chicago theatre designer multimedia programmer at the madison square garden company senior designer at the madison square garden company design lead creative project manger msg live,"['adobe photoshop', 'adobe']",['adobe photoshop'],[],['adobe photoshop'],[],[],['adobe photoshop'],1,0,0,1.0,1.0,1.0
3,0GTKKIK9kj-FVYLEkrqqcA_0000,it professional with an overall 16 years of technocommercial experience in business process consulting implementation and project delivery space for various enterprise business applications and it infrastructure products and services for clients across various industry sectors automotive retail logistics telecom etcexperienced in global service deliveries with distributed teams delivered large implementation roll out programs upgrades data migration and application value managementengagements using different project methodologiesskills summary project scheduling contracts management technical documentation risk management customer relationship management practice development change management team building and mentoring senior project management professional and business process consultant in it industrynnshe has experience in solution design preparing technocommercial proposal product and solution presentation implementation project governance and delivery of enterprise business applicationsnnshe has worked in gulf and india geographies and delivered successful large engagementsnnother skills summary nnproject scheduling nsow management nrisk management npractice development nchange management presales solution design consultant 21 years of experience in business requirement analysis technical solution design commercial architecting projects delivery and leadership and customer advocacy around industry best practices for multiple clients across various industries project delivery management business applications presales solution designing account manager financial services at wipro technologies ltd principal consultant banking bfs at wipro limited presales sap practice at wipro infotech consumer healthcare product development medical device software engineering investment banking front office operations and supply chain,['wipro'],['wipro'],['wipro'],['wipro'],[],[],[],1,0,0,1.0,1.0,1.0
4,0iMM991ETr11zJf6ABimew_0000,an innovative resultdriven leader with a proven track record in strategic global project management team development and operational rigor successfully led the execution of a large complex project portfolio across global functional operational centres results orientated with a focus on delivering strategic improvements through flagship global projects effectively managed complex multimillion dollar agile roadmaps to minimise operational impact and increase the consumer experience shaped project design and product requirements scope through collaborative leadership during the conceptual phases of key projects forged strong relationship through communication and effective stakeholder management achieved exposure and built experience working with individuals teams and senior global management an innovative resultdriven leader with a proven record in strategic project management team development and operational rigor passionate about driving business growth while developing a strong empowered and engaged task force an ability to establish operational needs and implement new projects while managing key business needs and expectations nnhaving worked across paypal merchant operations driving crossfunctional global projects and designing implementing innovative business solutions i have developed strong communication and agility skills which ultimately deliver against results global product integration at paypal senior team lead uk account management business support works for musgrave operating partners ireland global merchant services pmo product operations enablement manager at paypal pdh software development coding and development application development and maintenance sales and business development sales ops marketing corpdev retail banking front office,['paypal'],['paypal'],['paypal'],['paypal'],[],[],[],1,0,0,1.0,1.0,1.0
5,0juOw64dVs1xg5lLLg4p7Q_0000,clientfocused financial services managing director recognized for increasing revenue by building topperforming teams developing lasting and profitable client relationships and successfully cross selling products to client base nnentrepreneurial mindset and comprehensive background developing and implementing new businesses known as results oriented with consistent record of going above and beyond expectationsnnexpertise includesn strategy management consultingn institutional salesn business development relationship managementn product strategy development n prime brokeragen trading desk managementn correspondent clearingn risk managementnncontact info rglemonconsulting gmailcom focused leader recognized for increasing revenue by building topperforming teams developing lasting and profitable client relationships and finding innovative ways to grow revenue and increase margins senior executive with an entrepreneurial mindset and comprehensive background developing and implementing new businesses known as results oriented with consistent record of going above and beyond expectations expertise includes new business development institutional sales risk management pl management improvement relationship management strategic planning growth prime brokerage correspondent clearing trading desk management contact info rlemon firstnorthca builder of businesses with passion for change via automation and the alternatives funds marketplace contact info limesto gmailcom managing director partner first north consulting at first north consulting managing director and president at rg lemon consulting application development and maintenance investment banking front office sales ops marketing corpdev,['gmail'],[],['gmail'],[],[],['gmail'],[],0,0,1,0.0,0.0,0.0
6,0lweb59cuHHl9KQAEpZBeQ_0000,experienced resultsdelivery marketing executive with proven track record in driving business growth and increasing marketing roi for the firms that i have had the privilege of serving i bring experience in leading large global teams in the execution of global integrated marketing initiatives aligned to sales goals and business strategies skilled in endtoend marketing management data technologydriven marketing execution driving channel efficiencies thru digital transformation and designing clientcentric marketing strategies areas of expertise include brand building data analytics customer insights digital marketing digital product management creative communications marketing automation crm ecommerce cx customer experience marketing strategy experienced resultsdelivery marketing executive with proven track record in leading the execution of global integrated marketing initiatives aligned to sales goals and business strategies skilled in endtoend marketing management developing gotomarket plans driving channel efficiencies and designing highly effective marketing messages creative strategist with superb execution skills used to build brands and improve marketing and sales effectiveness b2b marketing and strategy director with more than 15 years of experience marketing bestinclass solutions and fostering global brands in highgrowth companies focused on developing highly effective global demand generation teams to support the sales pipeline and build the brand broad experience in marketing including product strategy digital marketing promotion content marketing and automation chief marketing officer growth markets region at mercer global crm practice lead at mercer,['mercer'],[],[],[],[],[],[],0,0,0,0.0,0.0,0.0
7,0MSNbJEHeGw7yWDUnLAzXA_0000,i have been compositing for nine years mainly in feature films but have also done some broadcast work i am well versed in all aspects of the compositing world from rotoscoping and cleanup to full cgi integration stereoscopic workflows and most recently deep compositing in the last year i have had the opportunity to work on the amazing spiderman 2 xmen days of futures past and teenage mutant ninja turtles tomorrowland furious 7 and san andreas at spi vancouver dd vancouver and image engine ilm and scanline respectively the work on these features varied greatly from creating and implementing the look of electro in the amazing spiderman 2 stereoscopic cleanup environment integration and full cg shots in xmen to full cgfx heavy work in teenage mutant ninja turtles and san andreas specialties skilled in deep compositing stereoscopic workflows cgi integration color correction keying matte extraction 3d projections 2d 3d tracking rotoscoping finishing programs nuke shake after effects mokey mocha maya syntheyes photoshop i have been compositing for 10+ years mainly in feature films but have also done some broadcast work i am well versed in all aspects of the compositing world from rotoscoping and cleanup to full cgi integration stereoscopic workflows and most recently deep compositing specialties skilled in deep compositing stereoscopic workflows cgi integration color correction keying matte extraction 3d projections 2d 3d tracking rotoscoping finishing programs nuke shake after effects mokey mocha maya syntheyes photoshop lead compositor at scanlinevfx vancouver,['mocha'],[],[],[],[],[],[],0,0,0,0.0,0.0,0.0
8,0pZfjIpAcQOt1m1UDUkI0g_0000,carson krislov quinn is principal founder of zindseymedia a public relations firm dedicated to aiding startups and small medium businesses land the media presence name recognition grow market share and ultimately expand beyond her media and public relations expertise carson is a former tv reporter nbc fox cbs abc and independent affiliates and online news writer thrillist austin monthly magazine healthzette and was a media spokeswoman for the state of illinois dept of transportation and dept of revenue she holds a bachelors of arts from cornell university college of arts sciences and a masters in journalism from northwestern university medill school of journalism carson krislov quinn is president ceo of zindseymedia a public relations firm dedicated to helping startups and small medium businesses land the media presence and footprint theyre after and ultimately grow their business beyond her media and public relations expertise carson has an extensive background in television reporting nbc fox cbs abc and independent affiliates online news writing and government communications spokeswoman for the state of illinois dept of transportation and dept of revenue she holds a bachelors of arts from cornell university college of arts sciences and a masters in journalism from northwestern university medill school of journalism carson krislov quinn is a freelance reporter in indianapolisnnprior to her move to indianapolis she was spokesperson public information officer pio for the illinois dept of transportation idot other state of il agency experience includes communications and media relations for the illinois department of revenue idor and the illinois liquor control commission ilcc nncarson holds bachelors of arts from cornell university college of arts sciences and a masters in journalism from northwestern university medill school of journalism nncontact her via carsonkquinn at gmail dot com communications professional fintech reporter plus freelance writing and public relations at pymnts reporter relocated recently to indianapolis loving indy fintech reporter communications professional,['gmail'],['gmail'],['gmail'],['gmail'],[],[],[],1,0,0,1.0,1.0,1.0
9,0qJGGXTUdRlXJmA6-978vA_0000,carson krislov quinn is principal founder of zindseymedia a public relations firm dedicated to aiding startups and small medium businesses land the media presence name recognition grow market share and ultimately expand beyond her media and public relations expertise carson is a former tv reporter nbc fox cbs abc and independent affiliates and online news writer thrillist austin monthly magazine healthzette and was a media spokeswoman for the state of illinois dept of transportation and dept of revenue she holds a bachelors of arts from cornell university college of arts sciences and a masters in journalism from northwestern university medill school of journalism carson krislov quinn is president ceo of zindseymedia a public relations firm dedicated to helping startups and small medium businesses land the media presence and footprint theyre after and ultimately grow their business beyond her media and public relations expertise carson has an extensive background in television reporting nbc fox cbs abc and independent affiliates online news writing and government communications spokeswoman for the state of illinois dept of transportation and dept of revenue she holds a bachelors of arts from cornell university college of arts sciences and a masters in journalism from northwestern university medill school of journalism carson krislov quinn is a freelance reporter in indianapolis prior to her move to indianapolis she was spokesperson public information officer pio for the illinois dept of transportation idot other state of il agency experience includes communications and media relations for the illinois department of revenue idor and the illinois liquor control commission ilcc carson holds bachelors of arts from cornell university college of arts sciences and a masters in journalism from northwestern university medill school of journalism contact her via carsonkquinn at gmail dot com communications professional fintech reporter plus freelance writing and public relations at pymnts reporter relocated recently to indianapolis loving indy fintech reporter communications professional,['gmail'],['gmail'],['gmail'],['gmail'],[],[],[],1,0,0,1.0,1.0,1.0
