id,summaries,Technology_Names,matched_NER_by_borders,matched_NER_final,NER_Extracted_Tags
zp6bMz814OP8QqN56D8Qew_0000,"[""I have my Bachelor'S degree in photography from art Institute of Seattle. I specialize in commercial photography, portraits, fine art and fashion. I had served in the Navy for 8 years active duty and 2 years reserves. My work ethic in photography is to make moments that can inspire and to create. I learned about hard work and dedication from the military and transferred those goals to my work in photography. I seek to be apart of a strong team and to build a fountain that benefits my goals and those of the organization I work for., I'm well motivated self taught person. I like to be a hands on worker. photography is my life even thou I may have other passion I strive to be the best at what I do., studio assistant. location: Lake Stevens, Washington; industry: photography ... founder+ owner at the House studios& the greenhouse studios ..., FC associate I at Amazon""]",,0,,
zjzRN3mUbQCqoBZjObpu0A_0000,"['Highly Versatile chemical engineer, having worked as an industry regulator and consultant in North America and Europe. areas of expertise are greenhouse gas accounting, risk assessment, environmental compliance, process engineering, and wastewater management.']",,0,,
zjf3L5BAmaiuBWjR9tiAzw_0000,"['Sales and operations business leader committed to drive value to the software industry and/ or energy sector by improving planning and operations decisions and supporting Digital business transformation. provide leadership to allow organizations to transform and operate in a sustainable manner minimizing their operations on the environment., Apr 29, 2015 ... ... operational, and analytic software products, information products, and market advisory services . ... commercial operations decisions and minimize emissions of greenhouse gases . ... analyst and buyer ... Derek Porter., executive business leader committed to drive value to the energy sector by providing integrated data, software, and services that analyze, optimize, and execute business processes to minimize cost and manage our limited natural resources., senior vice president& GM, Abb enterprise software']",,0,,
zgtdZvXtQZO9aofanfJlkw_0000,"['Writer, thinker, Doer( in no particular order)., copywriter at greenhouse partners']",,0,,
ze4szVARnYY2TF3rd8N1jg_0000,"['Extensive experience working on energy and climate change, focusing on energy efficiency, renewable energy, transportation, and Economy-Wide greenhouse gas policy. experience includes policy design, research, advocacy, program implementation, and organizational development; as a government official, consultant, and director of a non-profit organization. strengths include policy development, planning, project coordination, coalition building, quantitative analysis, writing, editing, and public speaking., policy and research director at climate Xchange, Co-Director at climate Xchange']",,0,,
zbeBFaBBS-T-qwjTWnq78g_0000,['Director of greenhouse Jsc'],,0,,
zVsVcKYLrl4oAfVDzUcpkQ_0000,"['Motivated, hard working individual with experience in leadership, youth education, event planning, and outreach., student assistant manager to the plant biology greenhouse at North Carolina state university, Horticultural science student at North Carolina state university']",,0,,
zNpnB8oA1g1FjhBqe9NERA_0000,"['Summary innovative and resourceful agricultural researcher and science professional with broad experience and capabilities in the science education industry; field, lab and greenhouse research; management of complex, multiple projects; building and managing teams of science professionals. experience includes product development and marketing; plant breeding and crop research under Glp in a regulated environment; honey bee research for assessment of pesticide risks to Pollinators; study director, study monitor or principal investigator for various regulatory Agronomic studies under Glp. also experienced in development of Multidisciplinary science instructional materials; product development and commercialization; marketing; intellectual property management; and business development. Phd( life sciences) specialties: research under good laboratory practices( Glp) regulatory field study management risk assessment technology assessment certified bee keeper( North Carolina), Department manager at Carolina biological supply. location: Burlington, North Carolina ... technology assessment certified bee keeper( North Carolina) ..., Department manager at Carolina biological supply at Carolina biological supply company, Department manager at Carolina biological supply company, study director and technical expert at Syngenta, medical device- electrical engineering, investment banking- back office, retail banking- back office']",,0,,
zMrqBzgDlGHmrqYm51kxrg_0000,"[""Broad expertise in assessment and mitigation of environmental and human health factors driven by land use and transportation planning and Vmt reduction a decade of experience in greenhouse gas emissions assessment, including specific expertise with greenhouse gas Metrics and inventory Methodologies expertise in state and local transportation and land use planning policies in California that influence Vmt and drive environmental and human health outcomes a keen ability to continue considering the big picture while addressing specific problems years of experience in collaborative policymaking and group decision-making, including substantial experience facilitating diverse groups strong quantitative, writing, and leadership skills, senior planner, governor's office of planning and research""]",,0,,
zJPJIYJ50o631TOXfGyulg_0000,"['Packinghouse coordinator en International greenhouse produce S. A. De C. V., territorial manager en Sunfed']",,0,,
